"name","price","rating","fromShipping","shippingCharge","seller","IsRefurbished","sold","Top Rated Plus","url"
"Apple iPhone 13 256GB A2482 5G Factory Unlocked AT&T T-Mobile Verizon Brand New","$699.99",,,,,"false",,"true","https://www.ebay.com/itm/275829442103?epid=21057418168&hash=item4038b74637:g:PuQAAOSwQzRkW9h7&amdata=enc%3AAQAIAAAAwAgHFy%2FvblNS6FDNKxTnDghAFzUSNxO98GwjmNS4hlEgoQZpwDyESc6ed%2FOBNoYyNcBZtV2SBzOyMtuDj4td8m2TC4iKRY%2BzjUhPTphG2kb7xsL81STmCmuSopCBcHbtyuBd3L7OXNHi0x%2FVdFNz5EF1UYd6Lp9291pfOjMwBsgdUZpYuaUId9PbUmGmnkXZWmMhL79P9OsB%2B5CEPJpGr%2F6xmlUNN5FjmR1AhPDa%2F5EuVYuuSgiY836M3PVXSUR4Ow%3D%3D%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 mini 256GB Factory Unlocked AT&T T-Mobile Verizon Very Good","$489.95",,,,,"true","20+ ","true","https://www.ebay.com/itm/304657420318?epid=14049280130&hash=item46eeff501e:g:UAAAAOSwJaxjRFUl&amdata=enc%3AAQAIAAAA4OQDfS3e08W2oxZDx4bago7dLNB97J0NIoWwR%2B%2BPl0CSPZScO02WfxjjKB1dTlJ%2Bb69dIbjSNojrVGgaav3lms30xAvAh3adxaly4EATqScGmExBS2AxA18YrqzKVbJS0JmF8QrKBl6CzumUnwn6Xo5r3IQdHBz0nfjpBzVQxgXTTa62EdDLMFR%2FDALuQw3tzZuuzZoLYKFF1C4Lfg1cf0Es1aBeF2%2BjCryWg24RG4PtpQKBKjhzLK%2BVSKeLPiH%2Bx%2FX7I79re6TIllmfDe1cqWaldP72Qgw1h5rj0yW0jEY3%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 - 256GB - Blue (Unlocked)","$489.99","4.5 out of 5 stars.",,"Free ",,"false",,"false","https://www.ebay.com/itm/155563643006?epid=2320328674&hash=item243850d07e:g:P9UAAOSwChVkWb0Z&amdata=enc%3AAQAIAAAAwPTfUYDPEJRwKD%2Fq6iS4UukXbuAwpU9rjWWwwRhm0yo2mNLVOjbOgR2lSdNN7mPiB2viv3w86o8eicqut30DhJHGlYXDBnffrq%2BbTqUJDNCDYgSXDGbrGIyr5wVolVzBGaxmzkdrtJFS0UWOS8xmFbunaZ%2BuF5Kb2K5MQc%2FglyRYuE8lE5ApTXGT4edX379wCha1m2ekg5vPg3WbI0qkpkmqCIofgmnLGe2tAMVF21tNOie49z6%2FzEsBlVEZSNG9pA%3D%3D%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 - 128GB Unlocked Midnight","$335.00","5.0 out of 5 stars.",,"+$9.99 ",,"false",,"true","https://www.ebay.com/itm/385631052916?epid=5049289956&hash=item59c966e474:g:ePQAAOSwy4pka91u&amdata=enc%3AAQAIAAAA4A%2Brgnf%2FQle5gi1yJjHjenacsShiUSYbvPzKLK67UdmF2RHPU1J2oAIgzuCQZeBqx4bTGZlEmJSXUMWzzKto6pjMk4w8EM1vS%2BTqz6yGNoW66oqRPUpv5p4%2FUJUDwcXp0ktQ7gkz56V4bqCAGi5O5WiqstuzaK883ByjknvB4%2BxG93d7OnfJzgoWs%2FQDhsrg9rpjFcnIVxPzLfc3A8Yn2f75oQiOddMmKbQcF9R5IlVv8GJZtn8rBePl0Gyvo%2FngObpWWYNcuxk2umbhUxaGzSvQPKQ690ADWEjyRAZdcbN7%7Ctkp%3ABk9SR6Lo1saJYg"
"New ListingApple iPhone 13- 128GB (AT&T) A2482.Excellent Condition.100% battery","$449.99",,,"+$7.15 ",,"false",,"true","https://www.ebay.com/itm/304950236091?hash=item47007353bb:g:Mq4AAOSwfKJkbOul&amdata=enc%3AAQAIAAAAwDiKyuuP%2BgKL5f%2FOjXX5By2R4K%2FIHY%2FT8zsdLpzVW8BmIDd1L41waCVp4I8hkwA5H7zRnSEThuRg%2ByTFXrah7vjjlFgkZ%2FbXnz2xpXy3hW8HAZYpGjqABE4ehAkyQ2rtXJS7vv4LZXEDVgAQLr0gDQgajsz8Xp87HOH72rGTS4JR5xubQz2RTtnawDT5dFVCh%2FcJRlU8eylZR3b2BZ4i5UehW4g0Wv3L0R7Z3Xw8IpysOTci1Yc6H%2BvmkIaq%2BE8L1Q%3D%3D%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 Pro Max A2484 128GB Unlocked Good Condition (Free Ship)","$849.80","5.0 out of 5 stars.",,,,"true","216+ ","true","https://www.ebay.com/itm/354593679546?epid=14049280195&hash=item528f6e28ba:g:fosAAOSwgb9jcpMC&amdata=enc%3AAQAIAAAA4BxlmvDFM6XhoC8%2Ffy5OEyTmK0TilJa7N7NgopVnI9x%2FhNT1aYtde%2BRpHa9vXbX9fB3B%2FIx1%2B6YuKLeZr9mimsgt6Dv6brixhRUM3MBT85HArjkMVOFGAXXKojN6CFYe%2BPk1A%2BZzu3hDpeA0CyDh%2FlzFSZHckFz3FWaPL323ZAmwiVCg5M8qx%2F%2BThrFDHaAJ1qODEd%2FN%2BpJyZvu9HyubptfbuIZEWWo7k%2Fd1chR2jpApjCGkuGJpw25LwDIZXuNGm1JNzXr3H0qOVnxZyjCUwIjV2d8BfLDpGGedtN56iydX%7Ctkp%3ABk9SR6Lo1saJYg"
"New ListingApple iPhone 13 Pro - 512GB - Graphite (Unlocked)","$514.00","5.0 out of 5 stars.",,"+$17.05 ",,"false",,"false","https://www.ebay.com/itm/235022710351?epid=26049291157&hash=item36b871f64f:g:P4cAAOSwSQxkbPzy&amdata=enc%3AAQAIAAAA4DExYeONGUtI0cb9pq6TwfIQBAG%2FH0%2FPPJToUlbnAlnS1RcDuD4MD8nKqd8olqSn0ZxeyCu10kNxhfLD6vxaHvYktFcW0U38giIqe6oPxXakyc9SnjAydMmTD%2BuM3gBt48D%2FET6Hp%2B4Z%2BtVbkOq2fnGHKlIe5tgUxgT7Bzpjw3ybhb17WdBHKqowjwRWbe778pEddV0aR%2F4OMps6cTf6yWL7qn20AslE5DKxIdBj8fb8DeUApF4oLlzcjfZd9Xi%2BbzIXpsPybEV3m1uUQQeRpMduLicBOMZP6zCpuPglg%2F8z%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 - 128GB - Starlight (T-Mobile)","$355.00$600.00","5.0 out of 5 stars.",,"+$13.40 ",,"false",,"false","https://www.ebay.com/itm/195778937178?epid=22049282542&hash=item2d9555815a:g:nHQAAOSw5SJkWRGQ&amdata=enc%3AAQAIAAAAwAvL%2BnctVUOjlPLTY7WVSLhtoBgNaN8Xlg6Y4tEWEIYz8i8jFZv9F4oquNur%2FBm8a%2B05R06bmilH9CbzX6zWSr%2BRKC6VP3Jpq7q%2BLd1eV39DwhnS0MVXcz14jQ9BUcNtfnulmT8vikDNJRTLu98eHPQjHm7AcjgdByQNyQrXh9olDEWVb3DS%2B88R22z6PCyzpVMZcwoni%2FddH58u3OMjN29Q541bZvWLVoXr7Zlr0SdI9lw%2FdUxRTrsziQDs7mUg3Q%3D%3D%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 - 128GB 256GB 512GB - All Colors - Excellent Condition","$583.00 to $670.00","5.0 out of 5 stars.",,,,"true","14+ ","true","https://www.ebay.com/itm/284789075414?epid=5049289956&hash=item424ec06dd6:g:rqsAAOSwLwZiar2B&amdata=enc%3AAQAIAAAA4GuzkKbBOlDURRaWG07tjTCmATJainUjxY8johNd1I1DnusGXtC07o9Rf2Au%2BqTmq0Du%2F5ZWa%2BS1EIF9ZLjwKQnPhOXRTg0otQp4njk8NiqkL0VopinQ6mBenIAC%2BUzACnKWlCVpze8jKyXvydXzh3U3zQqtrLtZ3d1yj47OJGOZw5Ud05v96ZpH3r1TbSWCEVA3alaNLvufsyuJBsD2hG3d4K4%2BwkDbr9U%2FTrApKeaKQcRzKEqhaMLdzUxAHD%2FCMYdajP4SGlt0HVBiKx3SmY3N8AkyqjEIl1%2BOHEzXWPRM%7Ctkp%3ABk9SR6Lo1saJYg"
"Apple iPhone 13 128GB 256GB 512GB AT&T Sprint T-Mobile Unlocked Verizon Fair","$409.99 to $569.99","5.0 out of 5 stars.",,,,"false","40+ ","true","https://www.ebay.com/itm/294477077136?epid=18049286543&hash=item4490339a90:g:2fgAAOSwrHFhbwu7&amdata=enc%3AAQAIAAAA4FdQbFJLXRcjVrX4NqPZltXaj4%2BSK4b76cmozDdGzAnNSSXZitW0bXaXAd6BX6seIxaSUxTOHba2U31fjkyepFl%2B11gn43eA7GglRPy%2FloDzoD%2BUP5qhXPB5jtJz%2BkS8Jyduc9CR7Y61Wb2%2BHF6yuKSWByrPPW%2FKUcIW8Vn4Ow3sGYDMkbHYL0a2z43V7fdkc98PGI0qM84sJsIDdps%2F%2FTGxu5zhpwuwISEvTdKSLAX5BX4zyk9TMJGkZq468f0GzTQEDIX1kf4lAv5Vb7KCzw1Atl%2BJkBSNn8ht32LyJHcU%7Ctkp%3ABk9SR6Lo1saJYg"
